"Year","Monthly mean sea level","Most Recent 5-Yr Average","NTDE Average Baseline","NTDE Average","Total Change"
"1983-01-15 00:00:00",0.07,,0,0,
"1983-02-15 00:00:00",0.1,,0,0,
"1983-03-15 00:00:00",0,,0,0,
"1983-04-15 00:00:00",-0.11,,0,0,
"1983-05-15 00:00:00",-0.13,,0,0,
"1983-06-15 00:00:00",-0.11,,0,0,
"1983-07-15 00:00:00",0,,0,0,
"1983-08-15 00:00:00",0.11,,0,0,
"1983-09-15 00:00:00",0.01,,0,0,
"1983-10-15 00:00:00",-0.02,,0,0,
"1983-11-15 00:00:00",-0.22,,0,0,
"1983-12-15 00:00:00",-0.3,,0,0,
"1984-01-15 00:00:00",-0.27,,0,0,
"1984-02-15 00:00:00",-0.16,,0,0,
"1984-03-15 00:00:00",-0.2,,0,0,
"1984-04-15 00:00:00",-0.21,,0,0,
"1984-05-15 00:00:00",-0.04,,0,0,
"1984-06-15 00:00:00",0.1,,0,0,
"1984-07-15 00:00:00",0.16,,0,0,
"1984-08-15 00:00:00",0.3,,0,0,
"1984-09-15 00:00:00",0.39,,0,0,
"1984-10-15 00:00:00",0.44,,0,0,
"1984-11-15 00:00:00",0.38,,0,0,
"1984-12-15 00:00:00",0.34,,0,0,
"1985-01-15 00:00:00",0.28,,0,0,
"1985-02-15 00:00:00",0.19,,0,0,
"1985-03-15 00:00:00",-0.16,,0,0,
"1985-04-15 00:00:00",-0.23,,0,0,
"1985-05-15 00:00:00",-0.22,,0,0,
"1985-06-15 00:00:00",0.08,,0,0,
"1985-07-15 00:00:00",0.05,,0,0,
"1985-08-15 00:00:00",0.1,,0,0,
"1985-09-15 00:00:00",0.1,,0,0,
"1985-10-15 00:00:00",0.16,,0,0,
"1985-11-15 00:00:00",-0.02,,0,0,
"1985-12-15 00:00:00",-0.24,,0,0,
"1986-01-15 00:00:00",-0.22,,0,0,
"1986-02-15 00:00:00",-0.11,,0,0,
"1986-03-15 00:00:00",-0.17,,0,0,
"1986-04-15 00:00:00",-0.32,,0,0,
"1986-05-15 00:00:00",-0.37,,0,0,
"1986-06-15 00:00:00",-0.32,,0,0,
"1986-07-15 00:00:00",-0.32,,0,0,
"1986-08-15 00:00:00",-0.13,,0,0,
"1986-09-15 00:00:00",-0.09,,0,0,
"1986-10-15 00:00:00",-0.13,,0,0,
"1986-11-15 00:00:00",0.02,,0,0,
"1986-12-15 00:00:00",-0.2,,0,0,
"1987-01-15 00:00:00",-0.14,,0,0,
"1987-02-15 00:00:00",-0.1,,0,0,
"1987-03-15 00:00:00",-0.12,,0,0,
"1987-04-15 00:00:00",-0.2,,0,0,
"1987-05-15 00:00:00",-0.24,,0,0,
"1987-06-15 00:00:00",-0.2,,0,0,
"1987-07-15 00:00:00",-0.27,,0,0,
"1987-08-15 00:00:00",-0.11,,0,0,
"1987-09-15 00:00:00",-0.11,,0,0,
"1987-10-15 00:00:00",-0.16,,0,0,
"1987-11-15 00:00:00",0.14,,0,0,
"1987-12-15 00:00:00",0.24,,0,0,
"1988-01-15 00:00:00",0.1,,0,0,
"1988-02-15 00:00:00",0.1,,0,0,
"1988-03-15 00:00:00",0.15,,0,0,
"1988-04-15 00:00:00",0.18,,0,0,
"1988-05-15 00:00:00",0.22,,0,0,
"1988-06-15 00:00:00",0.14,,0,0,
"1988-07-15 00:00:00",0.26,,0,0,
"1988-08-15 00:00:00",0.26,,0,0,
"1988-09-15 00:00:00",0.26,,0,0,
"1988-10-15 00:00:00",0.2,,0,0,
"1988-11-15 00:00:00",0.12,,0,0,
"1988-12-15 00:00:00",0.1,,0,0,
"1989-01-15 00:00:00",-0.03,,0,0,
"1989-02-15 00:00:00",0,,0,0,
"1989-03-15 00:00:00",0.02,,0,0,
"1989-04-15 00:00:00",-0.09,,0,0,
"1989-05-15 00:00:00",-0.19,,0,0,
"1989-06-15 00:00:00",-0.03,,0,0,
"1989-07-15 00:00:00",-0.03,,0,0,
"1989-08-15 00:00:00",-0.08,,0,0,
"1989-09-15 00:00:00",0.13,,0,0,
"1989-10-15 00:00:00",0.02,,0,0,
"1989-11-15 00:00:00",0,,0,0,
"1989-12-15 00:00:00",-0.12,,0,0,
"1990-01-15 00:00:00",-0.15,,0,0,
"1990-02-15 00:00:00",-0.54,,0,0,
"1990-03-15 00:00:00",-0.43,,0,0,
"1990-04-15 00:00:00",-0.34,,0,0,
"1990-05-15 00:00:00",-0.35,,0,0,
"1990-06-15 00:00:00",-0.24,,0,0,
"1990-07-15 00:00:00",-0.23,,0,0,
"1990-08-15 00:00:00",-0.09,,0,0,
"1990-09-15 00:00:00",0.07,,0,0,
"1990-10-15 00:00:00",0.1,,0,0,
"1990-11-15 00:00:00",0.05,,0,0,
"1990-12-15 00:00:00",-0.2,,0,0,
"1991-01-15 00:00:00",-0.09,,0,0,
"1991-02-15 00:00:00",-0.1,,0,0,
"1991-03-15 00:00:00",-0.25,,0,0,
"1991-04-15 00:00:00",-0.25,,0,0,
"1991-05-15 00:00:00",-0.27,,0,0,
"1991-06-15 00:00:00",-0.2,,0,0,
"1991-07-15 00:00:00",0.04,,0,0,
