MonthYear,Mean Sea Level
1983.0,0.07
1983.0833,0.1
1983.1667,0
1983.25,-0.11
1983.3333,-0.13
1983.4167,-0.11
1983.5,0
1983.5833,0.11
1983.6667,0.01
1983.75,-0.02
1983.8333,-0.22
1983.9167,-0.3
1984.0,-0.27
1984.0833,-0.16
1984.1667,-0.2
1984.25,-0.21
1984.3333,-0.04
1984.4167,0.1
1984.5,0.16
1984.5833,0.3
1984.6667,0.39
1984.75,0.44
1984.8333,0.38
1984.9167,0.34
1985.0,0.28
1985.0833,0.19
1985.1667,-0.16
1985.25,-0.23
1985.3333,-0.22
1985.4167,0.08
1985.5,0.05
1985.5833,0.1
1985.6667,0.1
1985.75,0.16
1985.8333,-0.02
1985.9167,-0.24
1986.0,-0.22
1986.0833,-0.11
1986.1667,-0.17
1986.25,-0.32
1986.3333,-0.37
1986.4167,-0.32
1986.5,-0.32
1986.5833,-0.13
1986.6667,-0.09
1986.75,-0.13
1986.8333,0.02
1986.9167,-0.2
1987.0,-0.14
1987.0833,-0.1
1987.1667,-0.12
1987.25,-0.2
1987.3333,-0.24
1987.4167,-0.2
1987.5,-0.27
1987.5833,-0.11
1987.6667,-0.11
1987.75,-0.16
1987.8333,0.14
1987.9167,0.24
1988.0,0.1
1988.0833,0.1
1988.1667,0.15
1988.25,0.18
1988.3333,0.22
1988.4167,0.14
1988.5,0.26
1988.5833,0.26
1988.6667,0.26
1988.75,0.2
1988.8333,0.12
1988.9167,0.1
1989.0,-0.03
1989.0833,0
1989.1667,0.02
1989.25,-0.09
1989.3333,-0.19
1989.4167,-0.03
1989.5,-0.03
1989.5833,-0.08
1989.6667,0.13
1989.75,0.02
1989.8333,0
1989.9167,-0.12
1990.0,-0.15
1990.0833,-0.54
1990.1667,-0.43
1990.25,-0.34
1990.3333,-0.35
1990.4167,-0.24
1990.5,-0.23
1990.5833,-0.09
1990.6667,0.07
1990.75,0.1
1990.8333,0.05
1990.9167,-0.2
1991.0,-0.09
1991.0833,-0.1
1991.1667,-0.25
1991.25,-0.25
1991.3333,-0.27
1991.4167,-0.2
1991.5,0.04
1991.5833,0.18
1991.6667,0.08
1991.75,0
1991.8333,0.24
1991.9167,0.03
1992.0,-0.05
1992.0833,0.03
1992.1667,0.13
1992.25,0.02
1992.3333,-0.2
1992.4167,-0.04
1992.5,-0.04
1992.5833,0.08
1992.6667,0.33
1992.75,0.18
1992.8333,0.32
1992.9167,0.28
1993.0,0.09
1993.0833,0
1993.1667,0.12
1993.25,0.07
1993.3333,0.06
1993.4167,0.07
1993.5,0.01
1993.5833,0.06
1993.6667,0.04
1993.75,0.13
1993.8333,-0.11
1993.9167,-0.21
1994.0,-0.15
1994.0833,-0.19
1994.1667,-0.31
1994.25,-0.19
1994.3333,-0.12
1994.4167,-0.07
1994.5,0.21
1994.5833,0.25
1994.6667,0.22
1994.75,0.28
1994.8333,0.09
1994.9167,0.01
1995.0,-0.01
1995.0833,0
1995.1667,0.26
1995.25,0.33
1995.3333,-0.03
1995.4167,0.19
1995.5,0.37
1995.5833,0.11
1995.6667,0.25
1995.75,0.31
1995.8333,0.32
1995.9167,0.39
1996.0,0.16
1996.0833,-0.06
1996.1667,-0.05
1996.25,0.05
1996.3333,0
1996.4167,-0.08
1996.5,0.29
1996.5833,0.27
1996.6667,0.34
1996.75,0.43
1996.8333,0.36
1996.9167,0.09
1997.0,0
1997.0833,0.1
1997.1667,0.1
1997.25,0.14
1997.3333,0.12
1997.4167,0.01
1997.5,0.13
1997.5833,0.2
1997.6667,0.3
1997.75,0.2
1997.8333,-0.04
1997.9167,-0.07
1998.0,-0.14
1998.0833,-0.3
1998.1667,-0.13
1998.25,-0.16
1998.3333,-0.19
1998.4167,-0.24
1998.5,-0.3
1998.5833,0.04
1998.6667,0.18
1998.75,-0.09
1998.8333,-0.06
1998.9167,-0.18
1999.0,-0.04
1999.0833,-0.09
1999.1667,-0.09
1999.25,-0.14
1999.3333,-0.19
1999.4167,-0.03
1999.5,0.01
1999.5833,0.13
1999.6667,0.37
1999.75,0.27
1999.8333,0.19
1999.9167,0.06
2000.0,-0.11
2000.0833,-0.23
2000.1667,-0.13
2000.25,-0.12
2000.3333,-0.05
2000.4167,0.01
2000.5,0.02
2000.5833,-0.04
2000.6667,0.03
2000.75,-0.06
2000.8333,-0.16
2000.9167,-0.05
2001.0,-0.11
2001.0833,-0.03
2001.1667,-0.21
2001.25,-0.13
2001.3333,-0.08
2001.4167,-0.06
2001.5,0.1
2001.5833,0.13
2001.6667,0.15
2001.75,-0.05
2001.8333,0.01
2001.9167,-0.02
2002.0,-0.01
2002.0833,-0.27
2002.1667,-0.17
2002.25,-0.09
2002.3333,-0.15
2002.4167,-0.07
2002.5,-0.07
2002.5833,-0.15
2002.6667,0.22
2002.75,0.25
2002.8333,0.06
2002.9167,-0.06
2003.0,0.01
2003.0833,-0.2
2003.1667,0.08
2003.25,0
2003.3333,0.15
2003.4167,0.34
2003.5,0.24
2003.5833,0.4
2003.6667,0.66
2003.75,0.53
2003.8333,0.21
2003.9167,-0.03
2004.0,0.03
2004.0833,0.19
2004.1667,-0.02
2004.25,0.02
2004.3333,0.36
2004.4167,0.26
2004.5,0.1
2004.5833,0.14
2004.6667,0.31
2004.75,0.4
2004.8333,0.36
2004.9167,0.22
2005.0,0.13
2005.0833,0.18
2005.1667,0.13
2005.25,-0.05
2005.3333,0.13
2005.4167,0.07
2005.5,0
2005.5833,0.09
2005.6667,0.3
2005.75,0.07
2005.8333,0.02
2005.9167,0.12
2006.0,0.21
2006.0833,0.02
2006.1667,0.11
2006.25,0.05
2006.3333,-0.09
2006.4167,0.1
2006.5,0.31
2006.5833,0.48
2006.6667,0.3
2006.75,0.35
2006.8333,0.39
2006.9167,0.09
2007.0,0.07
2007.0833,-0.08
2007.1667,0.04
2007.25,-0.14
2007.3333,-0.07
2007.4167,0
2007.5,0.15
2007.5833,0.29
2007.6667,0.11
2007.75,0.02
2007.8333,0.24
2007.9167,0.2
2008.0,-0.04
2008.0833,0
2008.1667,-0.06
2008.25,-0.12
2008.3333,0
2008.4167,0.15
2008.5,0.25
2008.5833,0.38
2008.6667,0.28
2008.75,0.14
2008.8333,0.11
2008.9167,0.07
2009.0,-0.07
2009.0833,-0.19
2009.1667,-0.17
2009.25,-0.24
2009.3333,-0.28
2009.4167,-0.16
2009.5,0.05
2009.5833,0.22
2009.6667,0.19
2009.75,0.1
2009.8333,-0.08
2009.9167,-0.07
2010.0,-0.12
2010.0833,-0.28
2010.1667,-0.24
2010.25,-0.27
2010.3333,-0.16
2010.4167,-0.04
2010.5,0.23
2010.5833,0.22
2010.6667,0.3
2010.75,0.25
2010.8333,0.12
2010.9167,0.19
2011.0,0.07
2011.0833,-0.08
2011.1667,-0.16
2011.25,0
2011.3333,-0.07
2011.4167,0
2011.5,0.18
2011.5833,0.18
2011.6667,0.1
2011.75,0.08
2011.8333,-0.01
2011.9167,-0.2
2012.0,-0.18
2012.0833,-0.1
2012.1667,-0.01
2012.25,0.01
2012.3333,-0.04
2012.4167,-0.04
2012.5,-0.05
2012.5833,-0.05
2012.6667,0.14
2012.75,0.12
2012.8333,0.23
2012.9167,0.18
2013.0,-0.01
2013.0833,-0.06
2013.1667,-0.04
2013.25,-0.26
2013.3333,-0.05
2013.4167,0.11
2013.5,0.1
2013.5833,0.14
2013.6667,0.29
2013.75,0.32
2013.8333,0.16
2013.9167,0.02
2014.0,0.02
2014.0833,-0.04
2014.1667,-0.06
2014.25,-0.11
2014.3333,-0.18
2014.4167,0.23
2014.5,0.15
2014.5833,0.3
2014.6667,0.52
2014.75,0.4
2014.8333,0.15
2014.9167,0.1
2015.0,-0.05
2015.0833,0.18
2015.1667,0.1
2015.25,0.09
2015.3333,0.18
2015.4167,0.17
2015.5,-0.03
2015.5833,0.09
2015.6667,0.21
2015.75,0.26
2015.8333,0.11
2015.9167,0.09
2016.0,0.22
2016.0833,0.27
2016.1667,0.02
2016.25,0.24
2016.3333,0.23
2016.4167,0.3
2016.5,0.31
2016.5833,0.33
2016.6667,0.51
2016.75,0.5
2016.8333,0.31
2016.9167,0.28
2017.0,0.14
2017.0833,0.27
2017.1667,0.32
2017.25,0.56
2017.3333,0.53
2017.4167,0.34
2017.5,0.33
2017.5833,0.76
2017.6667,0.58
2017.75,0.5
2017.8333,0.42
2017.9167,0.37
2018.0,0.33
2018.0833,0.15
2018.1667,0.07
2018.25,0.06
2018.3333,0
2018.4167,0.18
2018.5,0.3
2018.5833,0.46
2018.6667,0.46
2018.75,0.37
2018.8333,0.19
2018.9167,0.06
2019.0,0.12
2019.0833,-0.04
2019.1667,-0.07
2019.25,0.06
2019.3333,0.15
2019.4167,0.03
2019.5,0.34
2019.5833,0.52
2019.6667,0.39
2019.75,0.47
2019.8333,0.52
2019.9167,0.59
2020.0,0.26
2020.0833,0.09
2020.1667,0.25
2020.25,0.28
2020.3333,0.35
2020.4167,0.54
2020.5,0.73
2020.5833,0.65
2020.6667,0.7
2020.75,0.74
2020.8333,0.59
2020.9167,0.49
2021.0,0.34
2021.0833,0.38
2021.1667,0.25
2021.25,0.15
2021.3333,0.14
2021.4167,0.23
2021.5,0.16
2021.5833,0.39
2021.6667,0.3
2021.75,0.21
2021.8333,0.21
2021.9167,0.23
2022.0,0.14
2022.0833,0.14
2022.1667,0.05
2022.25,0.1
2022.3333,0.1
2022.4167,0.03
2022.5,0.06
2022.5833,0.19
2022.6667,0.33
2022.75,0.34
2022.8333,0.11
2022.9167,0.11
2023.0,0.07
2023.0833,-0.03
2023.1667,-0.05
2023.25,-0.08
2023.3333,-0.08
2023.4167,-0.14
2023.5,0.26
2023.5833,0.47
2023.6667,0.4
2023.75,0.47
2023.8333,0.36
2023.9167,0.19
2024.0,0.22
2024.0833,0.1
2024.1667,0.1
2024.25,0.11
2024.3333,0.2
2024.4167,0.26
2024.5,0.52
2024.5833,0.64
2024.6667,0.63
2024.75,0.58
2024.8333,0.39
2024.9167,0.35
2025.0,0.26
2025.0833,0.22
2025.1667,0.08
2025.25,0.14
2025.3333,0.09
2025.4167,0.07
2025.5,0.18
2025.5833,0.52
2025.6667,0.67
2025.75,0.6
2025.8333,0.41
