year,minimum wage
1968,1.25
1969,1.25
1970,1.60
1971,1.60
1972,1.60
1973,1.60
1974,1.60
1975,1.60
1976,2.40
1977,2.40
1978,2.40
1979,2.65
1980,2.90
1981,3.10
1982,3.10
1983,3.10
1984,3.10
1985,3.10
1986,3.10
1987,3.10
1988,3.85
1989,3.85
1990,3.85
1991,3.85
1992,3.85
1993,3.85
1994,5.25
1995,5.25
1996,5.25
1997,5.25
1998,5.25
1999,5.25
2000,5.25
2001,5.25
2002,5.75
2003,6.25
2004,6.25
2005,6.25
2006,6.75
2007,7.25
2008,7.25
2009,7.25
2010,7.25
2011,7.25
2012,7.25
2013,7.25
2014,7.25
2015,7.75
2016,8.50
2017,9.25
2018,10.10
2019,10.10
2020,10.10
2021,10.10
2022,12.00
2023,12.00
2024,14.00
2025,14.00
2026,16.00
